,Timestamp,Product Identifier,Location Identifier,Demand Quantity,External Factors,Historical Sales Units,Historical Sales Cost
0,2023-01-01 20:07:01,PROD003,Flipkart,97.2,Product Launch & Promotions,64.2,121.52051755661769
1,2023-01-01 23:57:34,PROD001,Offline Store,124.8,Product Launch & Promotions,112.8,127.14034498218075
2,2023-01-01 16:38:01,PROD003,Amazon,169.2,Product Launch & Promotions,142.2,511.8542682089928
3,2023-01-01 14:37:17,PROD001,Amazon,166.79999999999998,Product Launch & Promotions,148.79999999999998,400.34008978096466
4,2023-01-02 10:06:05,PROD002,Amazon,114.0,Product Launch & Promotions,85.0,373.1480845581363
5,2023-01-02 01:46:29,PROD003,Amazon,117.6,Product Launch & Promotions,98.6,129.6787981221439
6,2023-01-02 19:56:55,PROD002,Offline Store,88.8,Product Launch & Promotions,77.8,297.06275543008417
7,2023-01-02 09:05:54,PROD001,Amazon,117.6,Product Launch & Promotions,87.6,185.00195052977625
8,2023-01-03 05:23:22,PROD001,Offline Store,100.8,Product Launch & Promotions,69.8,265.7482315176275
9,2023-01-03 19:40:10,PROD003,Offline Store,97.2,Product Launch & Promotions,75.2,124.35147012358806
10,2023-01-03 20:44:35,PROD001,Offline Store,109.2,Product Launch & Promotions,75.2,328.7298575930948
11,2023-01-03 01:51:20,PROD002,Flipkart,69.6,Product Launch & Promotions,29.599999999999994,54.58036868062104
12,2023-01-04 22:20:13,PROD003,Flipkart,120.0,Product Launch & Promotions,90.0,408.48593539921285
13,2023-01-04 08:08:15,PROD003,Offline Store,141.6,Product Launch & Promotions,113.6,232.98978691282178
14,2023-01-04 18:25:23,PROD001,Amazon,138.0,Product Launch & Promotions,104.0,309.3025873140865
15,2023-01-04 03:09:40,PROD001,Offline Store,124.8,Product Launch & Promotions,102.8,348.0433934369876
16,2023-01-05 14:33:16,PROD003,Amazon,164.4,Product Launch & Promotions,133.4,517.9771628105999
17,2023-01-05 08:49:41,PROD002,Amazon,104.39999999999999,Product Launch & Promotions,80.39999999999999,220.22050461518413
18,2023-01-05 23:56:46,PROD002,Offline Store,176.4,Product Launch & Promotions,137.4,235.5870735393602
19,2023-01-05 20:19:53,PROD003,Offline Store,152.4,Product Launch & Promotions,131.4,235.9476750875437
20,2023-01-06 17:49:59,PROD003,Amazon,151.2,Product Launch & Promotions,141.2,324.28334099623936
21,2023-01-06 11:56:53,PROD002,Amazon,68.39999999999999,Product Launch & Promotions,40.39999999999999,79.32484933947285
22,2023-01-06 02:46:31,PROD001,Offline Store,177.6,Product Launch & Promotions,146.6,220.34596395558677
23,2023-01-06 17:10:16,PROD003,Offline Store,124.8,Product Launch & Promotions,85.8,416.76934934175864
24,2023-01-07 23:44:12,PROD003,Flipkart,121.19999999999999,Product Launch & Promotions,91.19999999999999,454.23048530989433
25,2023-01-07 16:28:07,PROD001,Amazon,69.6,Product Launch & Promotions,41.599999999999994,97.85743754133655
26,2023-01-07 18:14:00,PROD001,Offline Store,156.0,Product Launch & Promotions,144.0,177.91128972076228
27,2023-01-07 10:04:32,PROD001,Flipkart,162.0,Product Launch & Promotions,135.0,397.12382954126497
28,2023-01-08 18:36:30,PROD001,Flipkart,122.39999999999999,Product Launch & Promotions,109.39999999999999,192.72337852475766
29,2023-01-08 11:27:26,PROD002,Offline Store,67.2,Product Launch & Promotions,37.2,137.39664463724327
30,2023-01-08 12:46:21,PROD001,Amazon,88.8,Product Launch & Promotions,64.8,114.10214906785833
31,2023-01-08 05:17:29,PROD001,Amazon,127.19999999999999,Product Launch & Promotions,90.19999999999999,381.7344258991983
32,2023-01-09 01:41:34,PROD001,Amazon,175.2,Product Launch & Promotions,160.2,704.044226612687
33,2023-01-09 15:13:55,PROD002,Amazon,85.2,Product Launch & Promotions,63.2,159.0044044773644
34,2023-01-09 14:18:27,PROD003,Offline Store,180.0,Product Launch & Promotions,148.0,477.014847456126
35,2023-01-09 06:18:13,PROD001,Offline Store,172.79999999999998,Product Launch & Promotions,139.79999999999998,442.9955566084941
36,2023-01-10 01:37:30,PROD003,Offline Store,84.0,Product Launch & Promotions,58.0,71.19606249705481
37,2023-01-10 05:04:38,PROD001,Offline Store,96.0,Product Launch & Promotions,56.0,146.44572349529415
38,2023-01-10 07:37:38,PROD001,Offline Store,72.0,Product Launch & Promotions,44.0,117.78358509911355
39,2023-01-10 10:59:16,PROD001,Offline Store,169.2,Product Launch & Promotions,151.2,341.2184002187644
40,2023-01-11 21:41:19,PROD002,Flipkart,175.2,Product Launch & Promotions,165.2,783.5332171435392
